country,year,gdp_usd,population
United States,2022,25462700000000,333287557
China,2022,17963200000000,1411750000
Germany,2022,4072190000000,84079811
Tuvalu,2022,60349391,11312
Nauru,2022,150922240,12668
Japan,2022,4231140000000,125124000
India,2022,3385090000000,1417000000
United Kingdom,2022,3070668000000,66971411
France,2022,2782905000000,67971311
Brazil,2022,1920096000000,215313000
Nigeria,2022,477386000000,218541000
Kenya,2022,113420000000,54027000
Vietnam,2022,408802000000,98186000
Australia,2022,1675419000000,26005000
Canada,2022,2139840000000,38929000
Saudi Arabia,2022,1108149000000,36408000
Turkey,2022,905988000000,85341000
Mexico,2022,1414187000000,127504000
South Africa,2022,405870000000,62027000
Argentina,2022,632770000000,46234000
